1#上料管长,1#上料机械手,0,1,1,发送给激光机,2,01,,,,4,10,01,1000,1
2#上料管长,2#上料机械手,1,1,1,发送给激光机,2,01,,,,4,10,01,1000,1
3#上料管长,3#上料机械手,2,1,1,发送给激光机,2,01,,,,4,10,01,1000,1
1#激光机启动,1#上料机械手,0,1,1,发送给激光机,2,01,,,,4,10,01,1004,1
2#激光机启动,2#上料机械手,1,1,1,发送给激光机,2,01,,,,4,10,01,1004,1
3#激光机启动,3#上料机械手,2,1,1,发送给激光机,2,01,,,,4,10,01,1004,1
1#激光机信号,1#上料机械手,0,1,0,激光机发出,4,03,01,1005,1,4,10,,,
2#激光机信号,2#上料机械手,1,1,0,激光机发出,4,03,01,1005,1,4,10,,,
3#激光机信号,3#上料机械手,2,1,0,激光机发出,4,03,01,1005,1,4,10,,,
1#下料管材长度,1#上料机械手,0,1,0,激光机发出,4,03,01,1006,1,4,10,,,
2#下料管材长度,2#上料机械手,1,1,0,激光机发出,4,03,01,1006,1,4,10,,,
3#下料管材长度,3#上料机械手,2,1,0,激光机发出,4,03,01,1006,1,4,10,,,
1#下料管材宽度,1#上料机械手,0,1,0,激光机发出,4,03,01,1007,1,4,10,,,
2#下料管材宽度,2#上料机械手,1,1,0,激光机发出,4,03,01,1007,1,4,10,,,
3#下料管材宽度,3#上料机械手,2,1,0,激光机发出,4,03,01,1007,1,4,10,,,
1#下料管材高度,1#上料机械手,0,1,0,激光机发出,4,03,01,1008,1,4,10,,,
2#下料管材高度,2#上料机械手,1,1,0,激光机发出,4,03,01,1008,1,4,10,,,
3#下料管材高度,3#上料机械手,2,1,0,激光机发出,4,03,01,1008,1,4,10,,,
1#下料管材类型,1#上料机械手,0,1,0,激光机发出,4,03,01,1009,1,4,10,,,
2#下料管材类型,2#上料机械手,1,1,0,激光机发出,4,03,01,1009,1,4,10,,,
3#下料管材类型,3#上料机械手,2,1,0,激光机发出,4,03,01,1009,1,4,10,,,
1#气体类型,1#上料机械手,0,1,0,激光机发出,4,03,01,1010,1,4,10,,,
2#气体类型,2#上料机械手,1,1,0,激光机发出,4,03,01,1010,1,4,10,,,
3#气体类型,3#上料机械手,2,1,0,激光机发出,4,03,01,1010,1,4,10,,,
1#气体压力,1#上料机械手,0,1,0,激光机发出,4,03,01,1011,1,4,10,,,
2#气体压力,2#上料机械手,1,1,0,激光机发出,4,03,01,1011,1,4,10,,,
3#气体压力,3#上料机械手,2,1,0,激光机发出,4,03,01,1011,1,4,10,,,
1#占空比,1#上料机械手,0,1,0,激光机发出,4,03,01,1012,1,4,10,,,
2#占空比,2#上料机械手,1,1,0,激光机发出,4,03,01,1012,1,4,10,,,
3#占空比,3#上料机械手,2,1,0,激光机发出,4,03,01,1012,1,4,10,,,
1#激光频率,1#上料机械手,0,1,0,激光机发出,4,03,01,1013,1,4,10,,,
2#激光频率,2#上料机械手,1,1,0,激光机发出,4,03,01,1013,1,4,10,,,
3#激光频率,3#上料机械手,2,1,0,激光机发出,4,03,01,1013,1,4,10,,,
1#激光功率,1#上料机械手,0,1,0,激光机发出,4,03,01,1014,1,4,10,,,
2#激光功率,2#上料机械手,1,1,0,激光机发出,4,03,01,1014,1,4,10,,,
3#激光功率,3#上料机械手,2,1,0,激光机发出,4,03,01,1014,1,4,10,,,
1#激光就绪,1#上料机械手,0,1,0,激光机发出,4,03,01,1015,1,4,10,,,
2#激光就绪,2#上料机械手,1,1,0,激光机发出,4,03,01,1015,1,4,10,,,
3#激光就绪,3#上料机械手,2,1,0,激光机发出,4,03,01,1015,1,4,10,,,
1#激光运行,1#上料机械手,0,1,0,激光机发出,4,03,01,1016,1,4,10,,,
2#激光运行,2#上料机械手,1,1,0,激光机发出,4,03,01,1016,1,4,10,,,
3#激光运行,3#上料机械手,2,1,0,激光机发出,4,03,01,1016,1,4,10,,,
1#激光报警,1#上料机械手,0,1,0,激光机发出,4,03,01,1017,1,4,10,,,
2#激光报警,2#上料机械手,1,1,0,激光机发出,4,03,01,1017,1,4,10,,,
3#激光报警,3#上料机械手,2,1,0,激光机发出,4,03,01,1017,1,4,10,,,
1#激光加工时长,1#上料机械手,0,1,0,激光机发出,4,03,01,1018,1,4,10,,,
2#激光加工时长,2#上料机械手,1,1,0,激光机发出,4,03,01,1018,1,4,10,,,
3#激光加工时长,3#上料机械手,2,1,0,激光机发出,4,03,01,1018,1,4,10,,,
